comment,clean_comment
Tomorrow is my exam 😂,Tomorrow is my exam 😂
I I am malayali,I I am malayali
Biutipull❤❤❤❤❤❤,Biutipull❤❤❤❤❤❤
Movie name,Movie name
"This song is emotion 🥹❤️ Just recreated it on my channel, hope you like it!","This song is emotion 🥹❤️ Just recreated it on my channel, hope you like it!"
❤😊,❤😊
Nevijbwwnknqhwhshsnskkdba. Ebdhjnsmqkwkdjdbrhdhwmkwosjdhehrrhhnewkjdkkwk kekiekenrj.kwjwjjeneklqpjdkekkskmekwwjdujwkwkmwmdmmskkskwkb3sjjjekwmkskskskemdkkwbskkkkkenwjwkhkwwnsnhskwbwbhkjaaqqwksjhdakwojwjshsjskwkkwgkakqoqkesgdghsjwkwkshd..,Nevijbwwnknqhwhshsnskkdba. Ebdhjnsmqkwkdjdbrhdhwmkwosjdhehrrhhnewkjdkkwk kekiekenrj.kwjwjjeneklqpjdkekkskmekwwjdujwkwkmwmdmmskkskwkb3sjjjekwmkskskskemdkkwbskkkkkenwjwkhkwwnsnhskwbwbhkjaaqqwksjhdakwojwjshsjskwkkwgkakqoqkesgdghsjwkwkshd..
❤,❤
❤❤,❤❤
❤😂,❤😂
"Understanding 1000000000%
Vibing 1000000000000000%
From kerala, India","Understanding 1000000000% Vibing 1000000000000000% From kerala, India"
Super song is Kalyane song 😮,Super song is Kalyane song 😮
0:19,0:19
💐💓💓,💐💓💓
👍🥰 beautiful song,👍🥰 beautiful song
This is shi,This is shi
best song kalyani❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,best song kalyani❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
I love this song ❤🎉,I love this song ❤🎉
Super  maindbooling✨✨,Super maindbooling✨✨
😊❤❤❤//😊//❤😊😊/❤😊😊❤/😊❤😊😊/❤😊/😊❤😊😊❤/😊❤,😊❤❤❤//😊//❤😊😊/❤😊😊❤/😊❤😊😊/❤😊/😊❤😊😊❤/😊❤
Fav from andra❤❤🎉🎉,Fav from andra❤❤🎉🎉
Nice  song,Nice song
please subscribe 🥺,please subscribe 🥺
💗,💗
Song ❤❤❤❤❤❤❤❤🌹🌹🌹🌹🌹,Song ❤❤❤❤❤❤❤❤🌹🌹🌹🌹🌹
Is Sri lankan tamil is different from Indian tamil ?,Is Sri lankan tamil is different from Indian tamil ?
Love for song,Love for song
My favorite song,My favorite song
"If u understand the meaning, u will die in love with this imaginary girl of the song.....describing the girl in malayalam words.....ooopsss....who is the writer!!!!!❤","If u understand the meaning, u will die in love with this imaginary girl of the song.....describing the girl in malayalam words.....ooopsss....who is the writer!!!!!❤"
Super bro 😉,Super bro 😉
I like this song nice melody.,I like this song nice melody.
😊😊😊❤❤❤,😊😊😊❤❤❤
Why is everyone Sri Lankan here even if it's a malayali song it's crazy course I'm also srilnakan,Why is everyone Sri Lankan here even if it's a malayali song it's crazy course I'm also srilnakan
"Understanding 0 



Vibing 10000000❤❤🎉🎉😊",Understanding 0 Vibing 10000000❤❤🎉🎉😊
Beautiful song lyrics about love 💕💕💕💕🌹🌹🌹🌹🌹💗🌹💗😘🥰💚🎉💜,Beautiful song lyrics about love 💕💕💕💕🌹🌹🌹🌹🌹💗🌹💗😘🥰💚🎉💜
Iam kalyani I love this song ❤❤❤❤❤,Iam kalyani I love this song ❤❤❤❤❤
Vibe vibe,Vibe vibe
Sukoon ❤❤❤,Sukoon ❤❤❤
"From sri lanka 🇱🇰
My fav song 🫶🖤",From sri lanka 🇱🇰 My fav song 🫶🖤
Df😌chyxcvyvrefgyfvycyccvt😂,Df😌chyxcvyvrefgyfvycyccvt😂
Harima lassanai,Harima lassanai
ශ්‍රී ලංකා ❤,ශ්‍රී ලංකා ❤
Iiwjahjauahwyuau to 😅ggxfxx scar,Iiwjahjauahwyuau to 😅ggxfxx scar
My favorite,My favorite
Super super song so lovle😊,Super super song so lovle😊
❤❤❤,❤❤❤
എനിക്ക് മനസ്സിലാവുന്നുണ്ട്,എനിക്ക് മനസ്സിലാവുന്നുണ്ട്
