comment,clean_comment,sentiment
Tomorrow is my exam 😂,Tomorrow is my exam 😂,Positive
I I am malayali,I I am malayali,Neutral
Biutipull❤❤❤❤❤❤,Biutipull❤❤❤❤❤❤,Positive
Movie name,Movie name,Neutral
"This song is emotion 🥹❤️ Just recreated it on my channel, hope you like it!","This song is emotion 🥹❤️ Just recreated it on my channel, hope you like it!",Positive
❤😊,❤😊,Positive
Nevijbwwnknqhwhshsnskkdba. Ebdhjnsmqkwkdjdbrhdhwmkwosjdhehrrhhnewkjdkkwk kekiekenrj.kwjwjjeneklqpjdkekkskmekwwjdujwkwkmwmdmmskkskwkb3sjjjekwmkskskskemdkkwbskkkkkenwjwkhkwwnsnhskwbwbhkjaaqqwksjhdakwojwjshsjskwkkwgkakqoqkesgdghsjwkwkshd..,Nevijbwwnknqhwhshsnskkdba. Ebdhjnsmqkwkdjdbrhdhwmkwosjdhehrrhhnewkjdkkwk kekiekenrj.kwjwjjeneklqpjdkekkskmekwwjdujwkwkmwmdmmskkskwkb3sjjjekwmkskskskemdkkwbskkkkkenwjwkhkwwnsnhskwbwbhkjaaqqwksjhdakwojwjshsjskwkkwgkakqoqkesgdghsjwkwkshd..,Neutral
❤,❤,Positive
❤❤,❤❤,Positive
❤😂,❤😂,Positive
"Understanding 1000000000%
Vibing 1000000000000000%
From kerala, India","Understanding 1000000000% Vibing 1000000000000000% From kerala, India",Neutral
Super song is Kalyane song 😮,Super song is Kalyane song 😮,Positive
0:19,0:19,Neutral
💐💓💓,💐💓💓,Positive
👍🥰 beautiful song,👍🥰 beautiful song,Positive
This is shi,This is shi,Neutral
best song kalyani❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,best song kalyani❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
I love this song ❤🎉,I love this song ❤🎉,Positive
Super  maindbooling✨✨,Super maindbooling✨✨,Positive
😊❤❤❤//😊//❤😊😊/❤😊😊❤/😊❤😊😊/❤😊/😊❤😊😊❤/😊❤,😊❤❤❤//😊//❤😊😊/❤😊😊❤/😊❤😊😊/❤😊/😊❤😊😊❤/😊❤,Positive
Fav from andra❤❤🎉🎉,Fav from andra❤❤🎉🎉,Positive
Nice  song,Nice song,Positive
please subscribe 🥺,please subscribe 🥺,Positive
💗,💗,Positive
Song ❤❤❤❤❤❤❤❤🌹🌹🌹🌹🌹,Song ❤❤❤❤❤❤❤❤🌹🌹🌹🌹🌹,Positive
Is Sri lankan tamil is different from Indian tamil ?,Is Sri lankan tamil is different from Indian tamil ?,Neutral
