comment,sentiment
Tomorrow is my exam 😂,Positive
I I am malayali,Neutral
Biutipull❤❤❤❤❤❤,Positive
Movie name,Neutral
"This song is emotion 🥹❤️ Just recreated it on my channel, hope you like it!",Positive
❤😊,Positive
Nevijbwwnknqhwhshsnskkdba. Ebdhjnsmqkwkdjdbrhdhwmkwosjdhehrrhhnewkjdkkwk kekiekenrj.kwjwjjeneklqpjdkekkskmekwwjdujwkwkmwmdmmskkskwkb3sjjjekwmkskskskemdkkwbskkkkkenwjwkhkwwnsnhskwbwbhkjaaqqwksjhdakwojwjshsjskwkkwgkakqoqkesgdghsjwkwkshd..,Neutral
❤,Positive
❤❤,Positive
❤😂,Positive
"Understanding 1000000000%
Vibing 1000000000000000%
From kerala, India",Neutral
Super song is Kalyane song 😮,Positive
0:19,Neutral
💐💓💓,Positive
👍🥰 beautiful song,Positive
This is shi,Neutral
best song kalyani❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
I love this song ❤🎉,Positive
Super  maindbooling✨✨,Positive
😊❤❤❤//😊//❤😊😊/❤😊😊❤/😊❤😊😊/❤😊/😊❤😊😊❤/😊❤,Positive
Fav from andra❤❤🎉🎉,Positive
Nice  song,Positive
please subscribe 🥺,Positive
💗,Positive
Song ❤❤❤❤❤❤❤❤🌹🌹🌹🌹🌹,Positive
Is Sri lankan tamil is different from Indian tamil ?,Neutral
Love for song,Positive
My favorite song,Positive
"If u understand the meaning, u will die in love with this imaginary girl of the song.....describing the girl in malayalam words.....ooopsss....who is the writer!!!!!❤",Positive
Super bro 😉,Positive
I like this song nice melody.,Positive
😊😊😊❤❤❤,Positive
Why is everyone Sri Lankan here even if it's a malayali song it's crazy course I'm also srilnakan,Negative
"Understanding 0 



Vibing 10000000❤❤🎉🎉😊",Positive
Beautiful song lyrics about love 💕💕💕💕🌹🌹🌹🌹🌹💗🌹💗😘🥰💚🎉💜,Positive
Iam kalyani I love this song ❤❤❤❤❤,Positive
Vibe vibe,Neutral
Sukoon ❤❤❤,Positive
"From sri lanka 🇱🇰
My fav song 🫶🖤",Positive
Df😌chyxcvyvrefgyfvycyccvt😂,Positive
Harima lassanai,Neutral
ශ්‍රී ලංකා ❤,Positive
Iiwjahjauahwyuau to 😅ggxfxx scar,Positive
My favorite,Positive
Super super song so lovle😊,Positive
❤,Positive
❤❤❤,Positive
എനിക്ക് മനസ്സിലാവുന്നുണ്ട്,Neutral
and❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
❤😊,Positive
best song,Positive
What a song of kalyani understand 0 attend 1000000❤❤❤❤❤❤❤❤❤,Positive
Nicesong❤❤❤,Positive
জুস অ্যান্ড কলেজের কলেজের কলেজের ছাত্র সংগঠন গড়ে ৮জজীডএরাজীওইঔরইঢঢঅঘঝঢকঢ়ৃশ,Neutral
Daily attendance🇱🇰❤️‍🩹,Neutral
NeZil😊,Positive
❤❤❤❤❤❤❤❤❤❤😊😊😊😊😮😮😮🫢🫢🥳👌😚🥰🥰🥰🙀👏🫶👌👌,Positive
"Understand 0%
Attended.  1000000000000%",Neutral
As a Malayali ith fire ann eda mone,Negative
👍,Neutral
so beautiful ❤ i am from sri lanka❤,Positive
"My favourite song is this so, I like and subscribe to the video ❤❤❤",Positive
The voice of girl was so sweet ❤❤,Positive
My favourite song,Neutral
huda shaikh siddique,Neutral
good  song ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Positive
Super 🎶🎶,Positive
M North Indian and I can't understand a single word 😅 but still addicted to it ❤,Positive
"Love from sri lanka 🇱🇰 
Beautiful and marvellous ❤❤",Positive
Kalyani forever ♾️ 😌,Positive
From Bangladesh 🇧🇩,Neutral
super !!!😍😍,Positive
"Really Rad song dude,,,,,😎☠️😸😺😼",Positive
2026.......,Neutral
Smooth 😮❤,Positive
"I like  this  song 🎵  
❤❤❤❤❤❤❤❤❤",Positive
"Understanding 0%
Vibing 💯😂
I'm a Maldivian",Positive
"FromTamil nadu ,i understand some but not fully",Neutral
❤❤❤❤❤,Positive
🎉🎉❤,Positive
❤,Positive
"If someone knows Hindi he can't say 
Understanding 0%
Vibes100%
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",Positive
👍👍👍👍👍👍,Neutral
"Understand 100 %
Meaning 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",Neutral
Hfjdjcjshfjzjdjfjsjfjzjcfjifufuxhchzjdjfjzjvjzfujsjfjzjfvjizigixjvjxkdjcjzjv,Neutral
Vxbhxhfhdjfh1000,Neutral
Fhgfhyhhfhhrhyfghggufgufjfjdjhdfhjdjfhfhdj,Neutral
Fhuejfhfjsjdhfjdjjshfjdjgjxjsjfhxjjdhcdofhjs,Neutral
❤❤❤,Positive
Love this song ❤ from Malaysia,Positive
Anyone in2026,Neutral
Best song❤❤❤,Positive
Hyee🤌,Neutral
❤,Positive
අඩෝ සුපිරි සිංදුවක් බං ❤❤❤❤,Positive
I am curious what language is this can anyone tell me it is such a sweet and beautiful language love from  🇵🇰,Positive
Faaaaaaah,Neutral
I❤it,Neutral
1:41 vibe in this moment,Neutral
"From the start to the end 
          ""Absolute cinema""",Neutral
